,feat,avg_imp
504,x_72lmt_max,0.0
505,x_72lmt_min,0.0
506,x_73lmt_min,0.0
507,x_74lmt_min,0.0
508,x_75lmt_max,0.0
509,x_75lmt_min,0.0
510,x_76lmt_max,0.0
511,x_76lmt_min,0.0
512,ncloseCreditCardlmt_min,0.0
513,unpayIndvLoanlmt_min,0.0
514,loanProduct_sum2,0.0
515,loanProduct_count2,0.0
516,loanProduct_count1,0.0
517,5yearBadloanlmt_mean,0.0
518,5yearBadloanlmt_max,0.0
519,x_53lmt_max,0.0
520,x_52lmt_min,0.0
521,x_52lmt_max,0.0
522,x_30lmt_min,0.0
523,x_16lmt_min,0.0
524,5yearBadloanlmt_min,0.0
525,x_20lmt_min,0.0
526,x_25lmt_max,0.0
527,x_25lmt_min,0.0
528,x_26lmt_max,0.0
529,x_26lmt_min,0.0
530,x_27lmt_max,0.0
531,x_27lmt_min,0.0
532,x_28lmt_max,0.0
533,x_28lmt_std,0.0
534,x_29lmt_std,0.0
535,x_30lmt_mean,0.0
536,x_30lmt_max,0.0
537,x_30lmt_std,0.0
538,x_51lmt_min,0.0
539,x_42lmt_min,0.0
540,x_43lmt_min,0.0
541,x_43lmt_std,0.0
542,x_46lmt_max,0.0
543,x_46lmt_min,0.0
544,x_47lmt_min,0.0
545,x_47lmt_std,0.0
546,x_48lmt_max,0.0
547,x_48lmt_min,0.0
548,x_49lmt_max,0.0
549,x_49lmt_min,0.0
550,x_49lmt_std,0.0
551,x_50lmt_max,0.0
552,x_50lmt_min,0.0
553,x_56lmt_min,0.0
